pmid,title,abstract,date,journal,publication_type,year,classification,qa_type,qa_question,qa_answer,qa_explanation
30948444,"Reiki therapy for pain, anxiety and quality of life.","The use of complementary and alternative therapies is growing year after year, and Reiki therapy takes a place of choice. Reiki therapy, classed as a biofield energy therapy, raises the question of validity when applied to patients, especially in palliative care. The purpose of this review is to highlight the effects of Reiki therapy on pain, anxiety/depression and quality of life of patients, specifically in palliative care. The current article indicates that Reiki therapy is useful for relieving pain, decreasing anxiety/depression and improving quality of life in several conditions. Due to the small number of studies in palliative care, we were unable to clearly identify the benefits of Reiki therapy, but preliminary results tend to show some positive effects of Reiki therapy for the end-of-life population. These results should encourage teams working in palliative care to conduct more studies to determine the benefits of Reiki therapy on pain, anxiety/depression and quality of life in palliative care.",2019-Dec,BMJ supportive & palliative care,,2019,YES,sa,What is a potential limitation in generalizing the benefits of Reiki therapy for managing anxiety or depression in palliative care patients?,The small number of studies limits clear identification of benefits.,"The abstract states that the limited number of studies in palliative care prevents definitive conclusions about Reiki's effectiveness for anxiety/depression, despite preliminary positive effects."
30832633,Comparison of exhaustion symptoms in patients with stress-related and other psychiatric and somatic diagnoses.,"Several rating scales assessing stress-related symptoms of exhaustion have emerged in recent years. However, more knowledge is needed about the performance of these rating scales in patients with stress-related disorders as well as in other patient groups. With the recently developed Karolinska Exhaustion Disorder Scale (KEDS), we compared symptoms of exhaustion in different patient groups that were sorted according to diagnosis. Patients were sampled consecutively from departments of occupational medicine (DOM) at three Danish hospitals. The total study group comprised 698 care-seeking patients (487 women). Patients with stress-related diagnoses (n = 217; the International Classification of Diseases [ICD]-10 code F43: reaction to severe stress and adjustment disorder) were compared to a diverse group of patients with a range of somatic diagnoses (n = 338) and to patients with other psychiatric diagnoses (n = 143), including subgroups with major depression disorder (n = 34; F32 and F33) and problems related to employment and unemployment (n = 99; Z56). The data were analysed using linear mixed models with the SPSS statistical program. The mean KEDS sum score in patients with stress-related diagnoses (29.3; SD = 8.0) was significantly higher than in patients with other psychiatric diagnoses (25.9; SD = 9.5) and in patients with somatic diagnoses (17.6; SD = 10.8). The subgroup with a major depression disorder had high mean KEDS sum scores (31.4, SD = 8.1), similar to patients with stress-related diagnoses, while the mean KEDS sum score in patients with problems related to employment and unemployment (Z56) was 23.5 (SD = 9.0). Young and old patients scored similarly on KEDS, but in patients with somatic diagnoses, female patients scored significantly higher than male patients. The symptoms of exhaustion measured with KEDS were higher in patients with stress-related diagnoses and major depression disorder than in patients with somatic diagnoses. The intermediate level of the symptoms of exhaustion that were associated with problems related to employment and unemployment, (Z56) compared to the lower level of the symptoms with somatic diagnoses, suggests that KEDS might be useful in detecting mild, prodromal states of exhaustion. This needs further investigation.",2019-Mar-04,BMC psychiatry,,2019,YES,sa,How might the Karolinska Exhaustion Disorder Scale (KEDS) differentiate between major depression disorder and adjustment disorder in clinical practice?,"Both disorders show high KEDS scores, but adjustment disorder patients score slightly lower on average than those with major depression disorder.","The abstract states that patients with major depression disorder had a mean KEDS score of 31.4, while those with stress-related diagnoses (including adjustment disorder) scored 29.3, indicating nuanced differences in exhaustion severity."
31202891,Activation of WNT and CREB signaling pathways in human neuronal cells in response to the Omega-3 fatty acid docosahexaenoic acid (DHA).,"A subset of individuals with major depressive disorder (MDD) elects treatment with complementary and alternative medicines (CAMs), including the omega-3 fatty acids docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA). Previous studies in rodents suggest that DHA modulates neurodevelopmental processes, including adult neurogenesis and neuroplasticity, but the molecular and cellular mechanisms of DHA's potential therapeutic effect in the context of human neurobiology have not been well established. Here we sought to address this knowledge gap by investigating the effects of DHA using human iPSC-derived neural progenitor cells (NPCs) and post-mitotic neurons using pathway-selective reporter genes, multiplexed mRNA expression profiling, and a panel of metabolism-based viability assays. Finally, real-time, live-cell imaging was employed to monitor neurite outgrowth upon DHA treatment. Overall, these studies showed that DHA treatment (0-50 μM) significantly upregulated both WNT and CREB signaling pathways in human neuronal cells in a dose-dependent manner with 2- to 3-fold increases in pathway activation. Additionally, we observed that DHA treatment enhanced survival of iPSC-derived NPCs and differentiation of post-mitotic neurons with live-cell imaging, revealing increased neurite outgrowth with DHA treatment within 24 h. Taken together, this study provides evidence that DHA treatment activates critical pathways regulating neuroplasticity, which may contribute to enhanced neuronal cell viability and neuronal connectivity. The extent to which these pathways represent molecular mechanisms underlying the potential beneficial effects of omega-3 fatty acids in MDD and other brain disorders merits further investigation.",2019-Sep,Molecular and cellular neurosciences,,2019,YES,sa,"Which intracellular signaling pathways are upregulated in human neuronal cells by docosahexaenoic acid (DHA) treatment, and how might this relate to potential therapeutic effects in major depressive disorder (MDD)?",WNT and CREB pathways; they regulate neuroplasticity.,"The abstract states that DHA upregulates WNT and CREB signaling in human neuronal cells, enhancing neuroplasticity, neuronal viability, and connectivity. These mechanisms may underlie DHA's potential therapeutic effects in MDD."
30991255,The gut-brain relationship: Investigating the effect of multispecies probiotics on anxiety in a randomized placebo-controlled trial of healthy young adults.,"There has been an increased interest in understanding the therapeutic effect of gut-microbiota on health, particularly in mental health. However, limited research into the connection between gut-microbiota and mental health makes this study an important endeavor in exploring the effect of gut-microbiota, through probiotics intervention, on mental health like anxiety and factors related to anxiety (e.g., anxiety control, affect, negative mood regulation, and worry). Healthy college students (N = 86; 75.6% female), average age of 20.59, participated in a double-blind, placebo-control, and randomization-control study. Eligible participants completed a baseline survey before being assigned to a condition, which consisted of four probiotics conditions and one placebo condition. After 28 days of daily intake, the participants returned to complete their exit survey. Probiotics were observed to improve panic anxiety, neurophysiological anxiety, negative affect, worry, and increase negative mood regulation. Furthermore, post hoc analyses revealed that the CFU (colony-forming unit) level was more effective than species counts in accounting for the number of significant improvements. A ceiling effect was detected in the study, participants with high distress reported higher number of improvements than those with normative distress. Overall, this study is the first to examine the effect of CFU and species count on probiotics' efficacy. The study's finding suggested that probiotics may have the therapeutic potential to treat anxiety, however, further research is necessary to make that determination.",2019-Jun-01,Journal of affective disorders,,2019,YES,sa,How might probiotics' colony-forming unit (CFU) levels influence therapeutic outcomes in patients with clinical anxiety disorders?,"Higher CFU levels may improve panic anxiety, neurophysiological anxiety, negative affect, worry, and mood regulation more effectively than species count.","The abstract indicates that CFU levels were more effective than species counts in producing significant improvements in anxiety-related symptoms, suggesting CFU levels play a critical role in probiotics' therapeutic efficacy."
30646205,Evaluation of the Integrated Intervention for Dual Problems and Early Action Among Latino Immigrants With Co-occurring Mental Health and Substance Misuse Symptoms: A Randomized Clinical Trial.,"Immigrants are at an increased risk for co-occurring mental health and substance misuse symptoms; however, effective treatments are lacking. To evaluate the effectiveness of the Integrated Intervention for Dual Problems and Early Action (IIDEA) program compared with enhanced usual care. This effectiveness randomized clinical trial was conducted from September 2, 2014, to February 2, 2017, in 17 clinics or emergency departments and 24 community sites in Boston, Massachusetts, as well as in Madrid and Barcelona, Spain. Equal randomization (1:1) in 2-person blocks was used, assigning participants to either the IIDEA treatment group (n = 172) or the enhanced usual care control group (n = 169). Intent-to-treat analyses assessed effectiveness, and post hoc analyses examined whether results varied by symptom severity or treatment dose. Eligible participants were between 18 and 70 years of age, self-identified as Latino, screened positive for co-occurring symptoms, and were not receiving specialty behavioral health services. Participants were randomized to a 10-session IIDEA treatment or to enhanced usual care. Primary outcomes were changes in alcohol and drug misuse and results of a urine test for drug metabolites but not for alcohol misuse. Secondary outcomes were symptoms of depression, generalized anxiety, posttraumatic stress disorder, and overall mental health. In total, 341 participants were randomized to either the IIDEA treatment group (n = 172; 94 [54.7%] female, mean [SD] age, 33.5 [11.6] years) or the enhanced usual care control group (n = 169; 80 [47.3%] female, mean [SD] age, 34.3 [11.8] years). No statistically significant effects of IIDEA were found for primary drug and alcohol outcomes (ASI Lite-drug score: β = -0.02 [SE, 0.69; P = .88; Cohen d, 0.00; 95% CI, -0.17 to 0.17]; ASI Lite-alcohol score: β = -0.01 [SE, 1.19; P = .66; Cohen d, 0.00; 95% CI, -0.12 to 0.12]; urine drug test result: β = -0.36 [SE, 0.43; P = .50; OR, 0.70; 95% CI, 0.30-1.61]), but statistically significant effects were observed for secondary mental health outcomes. The IIDEA treatment was effective in reducing depressive symptoms per the Public Health Questionnaire-9 score (β = -1.14; SE, 0.47; P = .02; Cohen d, 0.20 [95% CI, 0.04-0.36]), posttraumatic stress disorder symptoms per the Posttraumatic Stress Disorder Checklist-5 score (β = -3.23; SE, 1.59; P = .04; Cohen d, 0.25 [95% CI, 0.01-0.37]), and overall mental health symptoms per the Hopkins Symptom Checklist-20 (β = -0.20; SE, 0.07; P = .01; Cohen d, 0.25 [95% CI, 0.08-0.42]) and composite mental health (β = -3.70; SE, 1.75; P = .04; Cohen d, 0.19 [95% CI, 0.01-0.36]) scores at the 6-month follow-up. Exploratory analyses suggested that 6-month treatment effects occurred for patients whose drug misuse was moderate to severe at the baseline assessment. Among patients with moderate to severe substance misuse, IIDEA substantially reduced substance use per the urine test results (odds ratio, 0.25 [95% CI, 0.09-0.67]; P = .01). Treatment dose showed small to large effect sizes by outcome. The IIDEA treatment did not change drug misuse but did improve secondary mental health and substance misuse outcomes for a heterogeneous population with moderate to severe symptoms; this finding provides a path for treating Latino immigrants with co-occurring mental health and substance misuse symptoms. ClinicalTrials.gov Identifier: NCT02038855.",2019-Jan-04,JAMA network open,,2019,YES,sa,"In a population of Latino immigrants with co-occurring mental health and substance misuse symptoms, what intervention showed a statistically significant reduction in depressive symptoms at 6 months, and what measure was used to assess these symptoms?",The Integrated Intervention for Dual Problems and Early Action (IIDEA) program; depressive symptoms were measured using the Public Health Questionnaire-9 (PHQ-9).,"The abstract states that IIDEA significantly reduced depressive symptoms at 6 months, as measured by the PHQ-9 (β = -1.14; P = .02; Cohen d = 0.20)."
37296547,"An Examination of the Relationship between Mental Distress, Functional and Psychosocial Quality of Life Indicators in a Population Based Sample of Prostate Cancer Survivors Who Received Curative Treatment.","Although survival rates are highest among prostate cancer survivors compared to any other forms of cancer, nearly 60% suffer from mental distress. Here we examine urinary function and psychosocial stressors and their association with poor mental health in a younger group of prostate cancer survivors who have undergone curative treatment. The study includes 128 men (47 to 70 years old) who received active treatment for prostate cancer, and completed a survivorship online survey between 2017 and 2018. Psychological distress was assessed with Kessler Psychological Distress Scale. International Prostate Symptom Score subscales (incomplete urinary emptying, frequency, intermittency, urgency, weak stream, straining and nocturia) and number of current prostate cancer survivorship stressors were predictors. Multivariate logistic regression was used to fit the model while controlling for months of survivorship since diagnosis, the presence or absence of surgery, radiation or hormone therapy treatment, current medication for depression and demographics. A total of 19.5% of men scored positive for current mental health issues. Prostate cancer survivors who reported increased number of current survivorship stressors (OR 1.48, 95% CI 1.09-2.01), had higher frequency of urination (OR 2.05, 95% CI 1.15-3.64), history of radiation treatment (OR 7.15, 95% CI 1.02-50.35) and were currently on prescribed medication for depression (OR 33.47, 95% CI 3.80-294.87) had higher odds for screening positive for psychological distress compared with their counterparts. These results corroborate recent findings showing an intersection between urological oncology and poor mental health during survivorship, and warrant the development of multidisciplinary teams in addressing survivorship issues in this population.",2020-Sep,Urology practice,,2019,YES,sa,Which factors increase the likelihood of psychological distress in younger prostate cancer survivors following curative treatment?,"Survivorship stressors, frequent urination, history of radiation treatment, and current prescribed depression medication increase risk.","The abstract identifies these factors as predictors of psychological distress, supported by odds ratios from multivariate logistic regression analysis."
29789995,You Can't Take Your Baby Home Yet: A Longitudinal Study of Psychological Symptoms in Mothers of Infants Hospitalized in the NICU.,"Evidence suggests that mothers of infants hospitalized in the Neonatal Intensive Care Unit (NICU) experience elevated rates of psychological symptoms. However, previous studies of this population have been mainly cross-sectional and have focused on very preterm infants. Although moderate- to late-preterm infants generally thrive, the possible psychological toll on their mothers has not yet been sufficiently examined. In the current study, we used a longitudinal design to investigate whether mothers of moderate- to late-preterm infants experience elevated rates of psychological symptoms during the infant's hospitalization in the NICU and 6 months later. Results indicated that these mothers did show elevated depression, anxiety, and PTSD symptoms, and that symptom levels were similar in mothers of moderate- versus late-preterm infants. Mothers of moderate- to late-preterm infants hospitalized in the NICU appeared to experience these symptoms steadily over a 6-month period after giving birth. These findings suggest a need for greater support for these mothers while in the NICU.",2019-Mar,Journal of clinical psychology in medical settings,,2019,YES,sa,"What psychological disorders should clinicians assess in mothers of moderate- to late-preterm infants hospitalized in the NICU, and why might symptom monitoring extend beyond the hospitalization period?","Depression, anxiety, and PTSD; symptoms persist steadily for 6 months postpartum.","The abstract indicates elevated depression, anxiety, and PTSD symptoms in these mothers during NICU hospitalization and 6 months later, suggesting prolonged psychological distress requiring extended monitoring."
30642650,Evaluation of Technology-Based Interventions for Informal Caregivers of Patients With Dementia-A Meta-Analysis of Randomized Controlled Trials.,"The aim of this study was to estimate the efficacy of technology-based interventions for informal caregivers of people with dementia (PWD). PubMed, PsycINFO, and Cochrane Library databases were searched in August 2018, with no restrictions in language or publication date. Two independent reviewers identified 33 eligible randomized controlled trials (RCTs) conducting a technology-based intervention for informal carers of PWD. Meta-analyses for the outcome measures caregiver depression and caregiver burden were conducted with subgroup analyses according to mode of delivery (telephone, computer/web-based, combined interventions). To assess methodologic quality, the Cochrane risk-of-bias assessment was rated. Meta-analyses revealed a small but significant postintervention effect of technology-based interventions for caregiver depression and caregiver burden. Combined interventions showed the strongest effects. Technology-based interventions have the potential to support informal caregivers of PWD. Because of advantages such as high flexibility and availability, technology-based interventions provide a promising alternative compared with ""traditional services,"" e.g., those for people living in rural areas. More high-quality RCTs for specific caregiver groups are needed.",2019-Apr,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,,2019,YES,sa,What type of technology-based intervention delivery method appears to have the strongest impact on reducing depression in informal caregivers of people with dementia?,Combined interventions.,"The abstract states that combined interventions showed the strongest effects in reducing caregiver depression, as revealed by meta-analyses of technology-based interventions for informal caregivers of people with dementia."
29307248,Antecedents of Looming Cognitive Style: Associations With Reported Perceived Parenting and Attachment.,"Looming Cognitive Style, which was proposed as cognitive vulnerability model specific for anxiety disorders, suggests that anxiety-prone individuals have a tendency to perceive threats and dangers as getting closer, becoming larger, and more agonizing every passing minute. Yet, very few studies focused on the family-related variables that are associated with development of Looming Cognitive Style. This study aims to investigate the relationship of Looming Cognitive Style with measures perceived parenting and attachment. A cross-sectional study was conducted with 389 university students aged between 18 and 35 as participants. The participants were assessed through Looming Cognitive Style, perceived parenting, attachment anxiety, and avoidance. Hierarchical regression analyses indicated Looming Cognitive Style to be significantly predicted by maternal overprotection and anxiety dimension of attachment. The results are important in understanding how parenting-related variables are related to development of cognitive vulnerabilities specific to anxiety disorders.",2019-Feb,Psychological reports,,2019,YES,sa,Which parenting style and attachment dimension are most likely to contribute to the development of cognitive vulnerabilities specific to anxiety disorders?,Maternal overprotection and attachment anxiety.,"The abstract identifies maternal overprotection and the anxiety dimension of attachment as significant predictors of Looming Cognitive Style, a cognitive vulnerability model specific to anxiety disorders."
29808770,Risk of Depression after Traumatic Brain Injury in a Large National Sample.,"Depression is associated with poorer recovery after traumatic brain injury (TBI), yet awareness of depression risk post-TBI among providers and patients is low. The aim of this study was to estimate risk of depression post-TBI among adults 18 years of age and older and to identify risk factors associated with developing depression post-TBI. We conducted a retrospective, matched cohort study using claims data for privately insured and Medicare Advantage enrollees in a large U.S. health plan. Adults ≥18 years of age diagnosed with TBI (n = 207,354) with 12 months continuous insurance coverage pre-TBI and 24 months post-TBI were matched to controls without TBI (n = 414,708). We identified the presence of depression on any in- or outpatient claim occurring during the study period (both before and after TBI). Of the initial 622,062 individuals, 62,963 (10%) had depression pre-TBI and were excluded from incidence calculations. Incidence of depression post-TBI was 79.5 (95% confidence interval [CI], 78.5,80.5) per 1,000 person-years compared to 33.5 (95% CI, 33.1,34.0) per 1,000 person-years for those without TBI. The adjusted hazard ratio for depression post-TBI was 1.83 (95% CI, 1.79,1.86). We observed effect modification by sex and age, with males and older adults at increased risk. History of neuropsychiatric disturbances pre-TBI was the strongest predictor of depression post-TBI. Risk of depression increases substantially post-TBI. Groups at increased risk include those with a history of neuropsychiatric disturbances, older adults, and men. This study highlights the importance of long-term monitoring for depression post-TBI.",2019-Jan-15,Journal of neurotrauma,,2019,YES,sa,What demographic and clinical factors increase the risk of developing depression after a traumatic brain injury (TBI)?,"Older age, male sex, and a history of neuropsychiatric disturbances pre-TBI.","The abstract identifies older adults, males, and individuals with pre-TBI neuropsychiatric disturbances as groups at increased risk for depression post-TBI, based on adjusted hazard ratios and stratified risk analyses."
31685566,"Overwhelming Need, Insufficient Health Care for Justice-involved North Carolinians.","<i>AJ was a 34-year-old African American male who was incarcerated for eight years for drug-related convictions. He suffered from diabetes, hypertension, chronic kidney failure, depression, and substance use disorder. Upon release from prison he was not connected with health services and he was uninsured, which was an additional barrier to accessing medical care. His own perceived need for care was limited as he had significant cognitive deficits with extremely low health literacy. Two years following his release from prison, an aunt concerned about his health brought him to clinic. His clinical course was fraught with complications that would likely have been preventable if he had been connected to care upon release. With treatment, his depression eventually improved and his substance use disorder was under better control. However, he endured multiple amputations from diabetic foot infections, partial vision loss, severe pain from diabetic neuropathy, temporary dialysis for end stage kidney disease, and two months of a feeding tube for severe gastroparesis.</i> AJ's story is not unique, and it highlights the terrible personal costs of inadequately addressing the health needs of people during periods of incarceration and following their release.",2019,North Carolina medical journal,,2019,YES,sa,"What factors likely contributed to the delayed improvement of depression in a patient with diabetes, hypertension, chronic kidney failure, and substance use disorder after incarceration?","Limited health literacy, lack of perceived need for care, no post-release healthcare connection, and untreated comorbid conditions.","The abstract highlights barriers like low health literacy, lack of healthcare access, untreated medical conditions, and cognitive deficits, which compounded the patient’s depression and delayed treatment success."
30835018,Examining the Relation Between Adolescent Social Anxiety and Positive Affect Regulation: Self-Report vs. Observation.,"Social anxiety symptomatology is associated with disruptions in positive affect, though no study has examined deficits in responses to positive affect related to adolescent social anxiety symptoms. The present study tested whether adolescents' self-reported and observed social anxiety symptoms were uniquely associated with specific responses to positive affect. Moreover, we examined whether adolescent gender moderated these relations. Ninety adolescents (ages 11 to 18, M<sub>age</sub> = 14.26, SD = 2.03; girls = 62%; white = 79%) completed self-report measures, participated in a social stressor task, and engaged in two positively-valenced interaction tasks with their female caregivers. Adolescent self-reported social anxiety symptoms were not uniquely associated with responses to positive affect. However, observed social anxiety symptoms were uniquely related to greater self-reported inhibiting positive affect responses and fewer observed positive affect maximizing behaviors. These findings highlight the need to examine self-reported and observed social anxiety symptoms in understanding associated disruptions in positive affect regulation.",2019-Oct,Child psychiatry and human development,,2019,YES,sa,How might observed social anxiety symptoms in adolescents impact their ability to regulate positive affect during interactions with caregivers?,Observed social anxiety symptoms are linked to greater self-reported inhibition of positive affect and fewer observed positive affect maximizing behaviors.,"The abstract indicates that observed, but not self-reported, social anxiety symptoms are uniquely associated with disruptions in positive affect regulation, including increased inhibition and reduced positive affect maximizing behaviors during interactions with caregivers."
31045441,Polyphonies of depression: The relationship between voices-of-the-self in young professional women aka 'top girls'.,"While the analysis of depression narratives has become increasingly common practice within critical mental health research, this work rarely investigates how these accounts intersect with particular social identities. The recent emergence of the 'top girl' identity, a new cultural slot on offer for young women, is underpinned by the rise of neoliberal and post-feminist discourses in the Western world. To explore whether this new feminine subjectivity is indeed taken up by young women and how it shapes their experience of depression, we conducted in-depth interviews with 13 young professional women in Aotearoa/New Zealand. Based on a dialogical approach to theorising and researching subjectivity, we identified repetitive inter-relations between different voices-of-the-self and the voices of depression. The most pervasive pattern in the sample consists of what we have termed <i>demanding voices</i> associated with the 'top girl' position, which construct depression as an individual deficit thereby discouraging young women from exploring the sociocultural origins of their distress. In contrast, <i>resistant voices</i> emphasise relationality and a (re)connection with meaningful values and, therefore, seem to be productive for individual recovery.",2020-Nov,"Health (London, England : 1997)",,2019,YES,sa,How might neoliberal and post-feminist cultural discourses influence the way young professional women interpret and cope with clinical depression?,"Neoliberal and post-feminist discourses promote 'top girl' identities, framing depression as an individual deficit and discouraging exploration of sociocultural distress origins.","The abstract highlights 'top girl' identities shaped by neoliberal and post-feminist discourses, which foster demanding voices that attribute depression to personal failure rather than sociocultural factors, affecting coping strategies."
30922834,"Cannabinoids, interoception, and anxiety.","The use of cannabis is rapidly gaining legal status across North America. Such dramatic legislative shifts have prompted an urgency in elucidating the stimulus effects of cannabis consumption. Cannabis use, though relatively safe compared to other drugs of abuse, has been associated with greater risk of mental health disorders, possibly via its primary psychoactive constituent, Δ-9-tetrahydrocannabinol (THC). In this review, we discuss endocannabinoid activation and cannabis constituents from the perspective of subjective interoceptive (internally-perceived) states and how that relates to anxiety. Human studies have examined these subjective effects through use of self-report questionnaires. However, non-human studies use proxy methods of assessing anxiety states, such as elevated plus maze and fear conditioning paradigms. So far, this body of research has demonstrated that both endogenous and exogenous cannabinoid activation generally elicits biphasic effects on expression of the subjective state, with lower doses appearing to have anxiolytic properties and higher doses perceived as anxiogenic. Unfortunately, research with these compounds has been historically limited due to excessively tight regulatory control. Therefore, much work remains regarding the investigation of interactions between cannabinoid receptor activity and cannabis constituents on anxiety. Ongoing changes in legal status will hopefully mitigate the challenges faced by researchers attempting to access cannabis and THC that is inherently built in by federal and international classifications.",2019-May,"Pharmacology, biochemistry, and behavior",,2019,YES,sa,How do cannabinoid receptor activation and THC dosage influence anxiety states in a biphasic manner?,"Low doses of THC or cannabinoid activation are anxiolytic, while higher doses are anxiogenic.","The abstract states that cannabinoid receptor activation and THC exhibit biphasic effects on anxiety, with lower doses reducing anxiety and higher doses increasing it."
30626568,YouthCHAT as a Primary Care E-Screening Tool for Mental Health Issues Among Te Tai Tokerau Youth: Protocol for a Co-Design Study.,"In New Zealand (NZ), 1 in 4 adolescents is affected by mental health issues (eg, depression and anxiety) and engages in risk behaviors (eg, harmful drinking and substance abuse), with rates among Māori youth being significantly higher. The majority of NZ secondary school students visit their local primary health care providers (PHPs) at least annually, yet most do not seek help for mental health and risk behavior (MHB) concerns. While youth think it acceptable to discuss sensitive issues during a consultation with their PHPs, unless problems are severe, such conversations are not initiated by PHPs. Early intervention for MHB concerns can prevent long-term health and well-being issues. However, this relies on the early identification of developing problems and youth being offered and accepting help. YouthCHAT is an electronic, multi-item screening tool developed in 2016 to assess MHB concerns among youth. YouthCHAT is completed before a consultation with the PHP, who can access a summary report straight away. A help question allows young people to identify issues that need addressing. A resource pack uses stepped care pathways to guide providers to use appropriate brief interventions. This study aimed to explore the utility, feasibility, and acceptability of YouthCHAT when tailored for use with youth in primary care settings with large Māori populations. Objectives of the study are to evaluate the implementation of YouthCHAT in nurse-led youth clinics, school-based clinics, and general practice in Te Tai Tokerau (Northland, NZ); to develop a framework for the scaling up of YouthCHAT across further settings; to assess health provider and youth acceptability of the tool; to improve screening rates for mental health and help-seeking behavior; to enable early identification of emerging problems; and to improve brief intervention delivery. Using a bicultural mixed-methods co-design approach, 3 phases over a 3-year period will provide an iterative evaluation of the utility, feasibility, and acceptability of YouthCHAT, aiming to create a framework for wider-scale rollout and implementation. Recruitment for the first phase began in September 2018. YouthCHAT was implemented at the first site in October 2018 and is expected to be at a further two sites in late January to early February 2019. The study is due for completion at the end of 2021. YouthCHAT has potential as a user-friendly, time efficient, and culturally safe screening tool for early detection of MHB issues in NZ youth. The resource pack assists the clinician to provide appropriate interventions for emerging and developed youth mental health and lifestyle issues. Involving input from community providers, users, and stakeholders will ensure that modifiable elements of YouthCHAT are tailored to meet the health needs specific to each context and will have a positive influence on future mental, physical, and social outcomes for NZ youth. PRR1-10.2196/12108.",2019-Jan-09,JMIR research protocols,,2019,YES,sa,What is a key benefit of using a culturally tailored electronic screening tool for identifying mental health concerns in adolescents from indigenous populations?,"It enables early detection of mental health issues and provides culturally appropriate interventions, improving mental, physical, and social outcomes.","The abstract highlights that YouthCHAT is culturally safe, facilitates early identification of mental health issues, and uses tailored interventions. This approach addresses specific needs of Māori youth, who have higher rates of mental health concerns, improving outcomes."
31004927,"Quality of life and correlating factors in children, adolescents with epilepsy, and their caregivers: A cross-sectional multicenter study from Germany.","To identify factors correlating with poorer quality of life (QoL) in children and adolescents with epilepsy and regarding QoL and depression of their caregivers in Germany. A cross-sectional multicenter study on QoL and depression was performed in two representative German states (Hessen and Schleswig-Holstein). Variance analysis, linear regression, and bivariate correlation were used to identify correlating factors for poorer QoL and symptoms of depression. Data from 489 children and adolescents (mean age 10.4 ± 4.2 years, range 0.5-17.8; 54.0% male) and their caregivers were collected. We identified missing seizure freedom (p = 0.046), concomitant diseases (p = 0.007), hospitalization (p = 0.049), recent status epilepticus (p = 0.035), living in a nursing home or with foster parents (p = 0.049), and relevant degree of disability (p = 0.007) to correlate with poorer QoL in children and adolescents with epilepsy. Poorer QoL of caregivers was associated with longer disease duration (p = 0.004), non-idiopathic (mainly structural-metabolic) epilepsy (p = 0.003), ongoing seizures (p = 0.003), concomitant diseases (p = 0.003), relevant disability (p = 0.003), or status epilepticus (p = 0.003) as well as with unemployment of the primary caretaker (p = 0.010). Symptoms of depression of caregivers were associated with non-idiopathic epilepsy (p = 0.003), concomitant diseases (p = 0.003), missing seizure freedom (p = 0.007), status epilepticus (p = 0.004), or a relevant disability (p = 0.004) of their ward. A poorer QoL value of the children and adolescents correlated with a poorer QoL value of the caregivers (p < 0.001). Epilepsy shows a considerable impact on QoL and symptoms of depression. Early and effective therapy should focus on reduction of seizure frequency and the probability for developing status epilepticus. Furthermore, comprehensive care should pay attention at comorbidities, consequences of disability and dependency on others.",2019-Jul,Seizure,,2019,YES,sa,What caregiver-related factors are associated with an increased risk of depressive symptoms in caregivers of children and adolescents with epilepsy?,"Non-idiopathic epilepsy, concomitant diseases, missing seizure freedom, status epilepticus, and relevant disability of the child.","The abstract identifies these factors as correlating with depressive symptoms in caregivers, highlighting the impact of epilepsy severity, comorbidities, and functional impairments on caregiver mental health."
30795491,Predicting persistent depressive symptoms in older adults: A machine learning approach to personalised mental healthcare.,"Depression causes significant physical and psychosocial morbidity. Predicting persistence of depressive symptoms could permit targeted prevention, and lessen the burden of depression. Machine learning is a rapidly expanding field, and such approaches offer powerful predictive abilities. We investigated the utility of a machine learning approach to predict the persistence of depressive symptoms in older adults. Baseline demographic and psychometric data from 284 patients were used to predict the likelihood of older adults having persistent depressive symptoms after 12 months, using a machine learning approach ('extreme gradient boosting'). Predictive performance was compared to a conventional statistical approach (logistic regression). Data were drawn from the 'treatment-as-usual' arm of the CASPER (CollAborative care and active surveillance for Screen-Positive EldeRs with subthreshold depression) trial. Predictive performance was superior using machine learning compared to logistic regression (mean AUC 0.72 vs. 0.67, p < 0.0001). Using machine learning, an average of 89% of those predicted to have PHQ-9 scores above threshold at 12 months actually did, compared to 78% using logistic regression. However, mean negative predictive values were somewhat lower for the machine learning approach (45% vs. 35%). A relatively small sample size potentially limited the predictive power of the algorithm. In addition, PHQ-9 scores were used as an indicator of persistent depressive symptoms, and whilst well validated, a clinical interview would have been preferable. Overall, our findings support the potential application of machine learning in personalised mental healthcare.",2019-Mar-01,Journal of affective disorders,,2019,YES,sa,What machine learning method demonstrated superior predictive performance over logistic regression in identifying persistent depressive symptoms in older adults after 12 months?,Extreme gradient boosting.,"The abstract specifies that extreme gradient boosting outperformed logistic regression in predicting persistent depressive symptoms, with a higher mean AUC (0.72 vs. 0.67) and better positive predictive value (89% vs. 78%)."
